isoo,wH_data,wL_data,w_data,GDPc_data,Hn_data,WR_data,Hr_data,mH_data,mL_data,GNIc_data,RemGDP_data,wap_data,exp_prim_data,exp_seco_data,exp_tert_data,cs_h_data,RemiT_data,GovExp_data,EduExp_data,GovCons_data,c_low,c_high
HTI,6877.055719990578,1446.887678615055,1605.45684882601,685.830233344606,.05856137,4.75299902102506,.0292015217582084,.5638471991597048,.0980520372568221,685.830233344606,.2152726412378334,.5938692855834961,0,0,0,.024070680141449,1476559602.169929,.27547,.0302451992034912,.0740181713303561,.4051043,.2524782
HUN,15755.10852865349,10351.58489461174,11080.00355868218,9500.030963914201,.13949747,1.521999644407535,.1348043819927908,.1151110584525466,.03151076283485,9500.030963914201,.0166977072887597,.686349563598633,.2193123,.212401,.2809955,.2859658598899841,2038018080.177245,.494542,.047612099647522,.2144238309053864,.4589834,.2465824
IDN,29056.80420010456,7210.126145333222,8646.716915064191,4427.685997641233,.06672076,4.029999422258607,.0657578587522242,.0167922779154606,.001365765185234,4427.685997641233,.0131083121431902,.6516134643554691,.0996239,.0828022,.2332807,.1201310604810715,6927855060.55603,.182687,.0281227993965149,.0900591499311107,.3011184,.2183162
IND,20032.35656762071,4906.284467153573,6132.842931976981,2974.908449158359,.08412679,4.082999406522931,.0810890267266099,.0412221576819473,.0020051482726932,2974.908449158359,.0335656786775522,.647598342895508,.0749038,.141265,.7154343,.1068385317921638,56796166056.39088,.273171,.03377690076828,.1100760786746431,.8566992999999999,.7154343
IRL,50310.61975822916,27628.0240874783,36796.11482310884,27898.3830828713,.39414635,1.820999561855427,.4041905462985775,.1780456129264038,.2001213166515148,27898.3830828713,.0025390367529478,.6733687591552731,.1921821,.2767082,.3153732,.1301977187395096,663124166.2076056,.2507666666666667,.0603804016113281,.1878842678230045,.5920814000000001,.3153732
IRN,33253.31108932685,8917.489171458232,11804.45284047315,6944.264917327112,.12628748,3.728999323683967,.1186302101797991,.0775157316913117,.0093652295121838,6944.264917327112,.0031790521058166,.712239074707031,.1185865,.1810703,.1523897,.1946022659540176,1205600000,.217502,.0370918011665344,.1080454016967648,.33346,.1523897
IRQ,6300.657676422386,1848.242574955009,2502.178812037706,1048.928462632375,.15381497,3.408999317406027,.1468722529638309,.0810940093579505,.0297611503433689,1048.928462632375,.0035165841929821,.553997383117676,0,0,0,.2446959465742111,178720000,.5068339357141199,.0352314261,.1892638518518518,.3889112,.1907659
ISL,48545.3828143551,22340.26300525272,30271.10362791293,19241.93436245176,.3255298500000001,2.172999610745001,.3026446999836048,.1689269045923305,.0810782945066741,19241.93436245176,.0069153097910041,.669345550537109,.243018,.1940782,.2639043,.2404965162277222,130631280.7246344,.476687,.0697847986221313,.2468374999255404,.4579825,.2639043
ISR,31641.81619333029,22189.21688612478,25435.70304802169,17936.66489557122,.32300051,1.425999680642914,.3434490404583411,.0720140031460848,.0295486811284079,17936.66489557122,.0027265808581188,.62326976776123,.2154325,.1530056,.1979111,.232061505317688,4729480000,.454274,.0553534984588623,.2265981946044015,.3509167,.1979111
ITA,37142.82322430015,22927.67360395161,24492.76379729322,19909.35779682083,.1113422,1.619999650461639,.1101001561813485,.0769821074726725,.0402470956539662,19909.35779682083,.0028966282010071,.6566734313964839,.2283465,.2394346,.2444501,.1708320379257202,8053724715.603621,.5027550000000001,.0433411979675293,.2055298416897777,.4838847000000001,.2444501
JAM,19994.98835047984,4755.051761239339,7109.017943962489,3668.330955777461,.21949389,4.204999094535287,.1544603659561856,.5568967622007713,.3178687250911536,3668.330955777461,.1569026500278445,.631167793273926,.2198013,.250147,.5452797,.2052285224199295,2069253271.534241,.2922966666666667,.0637060022354126,.1612006096561272,.7954267,.5452797
JOR,27817.54269809798,10670.328834095,14395.20816942577,5702.184514534311,.22493182,2.606999571485776,.2172294207603242,.0607960798240813,.0178298377796392,5702.184514534311,.1631908024472347,.615170936584473,.1514867,.1864112,.2318203,.2144268751144409,3626105018.012557,.30426715703277,.0487,.170882590638218,.4182315,.2318203
JPN,40533.67847128007,25113.80951530789,30227.90083955328,22815.51285274338,.33294933,1.613999598371292,.3316559523850354,.0103840015833676,.0033849541168504,22815.51285274338,.0002924276766997,.637514038085938,.2297133,.2473159,.2399086,.1853429675102234,1936537389.069753,.398341,.0363949990272522,.1949160384280006,.4872245000000001,.2399086
KAZ,34330.11202267581,13510.476541692,18352.42702788973,11245.43716962116,.22723187,2.540999343489955,.2325665351163456,.0540697028349247,.0821479421955334,11245.43716962116,.0012282589646691,.684362258911133,.0026455,.186624,.0956983,.1665932685136795,202404221.7769599,.22473448112742,.0306071996688843,.1081234471775296,.2823223,.0956983
KEN,13359.54351218162,2803.68230684094,3115.272689667737,1098.413288268765,.03704184,4.764999044144393,.0295182341606718,.2155045395917466,.0078608780998293,1098.413288268765,.0200023803472971,.548191375732422,.2289785,.4528986745327085,.7642309,.1224531307816505,825930864.5120221,.30140087105077,.0550822019577026,.1416902914964811,.9808612000000001,.7642309
KGZ,7425.53426793738,2967.839884426982,3458.001569315442,2834.678242085069,.1113598,2.50199962164437,.1099585666306853,.0159551280627391,.0018437200890956,2834.678242085069,.2095059462409143,.655234527587891,0,0,.2263517,.2198039144277573,1442300983.3203,.36382246327646,.0581883001327515,.181270712390519,.4609274,.1887649
KHM,22495.46309092483,4985.697409200547,5329.873158305983,2481.736653924688,.02623984,4.511999274045787,.0196562167285122,.2786105402895266,.0304785093898821,2481.736653924688,.0186672838014357,.631336631774902,.0482626,.0605226,.0880257,.1004622802138329,470644873.4036203,.19879236341365,.0153378999233246,.0634468216449297,.126285,.0657624
KWT,43125.49650525944,17968.96001573456,22095.52933716481,12894.33645037602,.17500973,2.399999580804704,.1640356701387945,.085984808614419,.0118651150444329,12894.33645037602,.0000391226090833,.726464920043945,.1742814,.1397006,1.550960018796589,.1213820427656174,2611487.928060879,.43146607981663,.0376,.1713040218626811,1.3465335,1.1289651
LAO,15259.84513337991,3503.179077499453,4076.586516944403,1669.179071196043,.06248832,4.355999164128456,.0487729630763937,.289653238175608,.0765835397875906,1669.179071196043,.0045598106761273,.594951477050781,.0541822,.0734751,.4821766747939858,.2144786715507507,82084595.244,.22663345428415,.0170978999137878,.1189822412085541,.2199851,.14651
LBN,19767.03049665216,6339.651763565587,8626.654815951713,4452.734821589747,.19831324,3.117999416033328,.1703238657259807,.2530139289056644,.0998962008010082,4452.734821589747,.2176132239903632,.67844841003418,.0262036416184971,.0453323,.1956536,.170072928071022,7040314426.995304,.30605940287233,.0161330997943878,.1221987077972786,.1714063,.1074533
LBR,9492.417922367427,2040.502910762169,2112.604133549032,801.5985187970805,.02495658,4.651999206814078,.0096755294007749,.628102273749136,.02571187097686,801.5985187970805,.0885216383103177,.535807838439941,.1449935,.1773005,.5135162,.2017862647771835,289452800.5429923,.3252666666666666,.0177711999416351,.1423686686686687,.6908167,.5135162
LBY,14329.17426270595,4693.474313177425,5646.909148586257,2993.563377094551,.10521902,3.052999400140591,.0989481657173732,.0853827991593945,.0206027039212834,2993.563377094551,.0003040032537382,.659806671142578,0,0,0,.0994325908558031,0,.9449166666666667,.023,.0994325908558031,.3889112,.1907659
LCA,33443.41723470322,8111.429306947188,11855.48860066556,6936.656432072073,.17555339,4.122999285225845,.1477996635872403,.3710129909835815,.2277523148908278,6936.656432072073,.0248428469409285,.6627169799804691,0,0,0,.1723097413778305,29024326.37037037,.2367866666666667,.034828999042511,.1253,.340234,.1531342
LKA,27693.88812938315,6209.393134111413,7881.079761561862,4895.078384343473,.08907026,4.459999154707451,.0778089793508459,.1589682316806348,.0253438886609298,4895.078384343473,.0768322054883469,.671108627319336,.0506586,.0733734,.2704113,.162771999835968,4307388000.000001,.22844062137319,.0171774005889893,.0845584606674845,.2919023,.2185289
LSO,6607.090253140786,1383.394356684638,1609.882531105693,1951.902564632691,.0437893,4.775999136627209,.0433578406765043,.0107966768026529,.0005022023408717,1951.902564632691,.3053347638585542,.580828704833984,.2155378,.4842486,10.4617915,.3180393874645233,587560202.7563133,.57737281172414,.120834999084473,.4083321890125606,.9311892000000001,.4469406
LTU,27407.33790825153,11783.03697371198,18115.87655935952,11341.84429787347,.3871341200000001,2.325999482934446,.4053198675691133,.056090819914874,.1251939998225937,11341.84429787347,.0361908051496451,.692646179199219,.2240099,.2147123,.1920368,.2749254405498505,1588182290.916119,.41948642360286,.0531273984909058,.198449958662449,.4067491,.1920368
LUX,72119.64832529791,55011.18661824588,59287.17135687387,35572.30281412432,.23238667,1.310999684950944,.2499339105903047,.1245011431017395,.0657060685493805,35572.30281412432,.0306947542721904,.6836351013183589,.2425985,.1989421,.4111313,.1470220386981964,1707202168.423649,.4236133333333333,.0409041023254395,.1703529798984574,.2029024,.0039603
LVA,29451.24532682384,14965.06652965955,18951.78856693344,14816.36199504503,.29877858,1.967999625558219,.2752086725627256,.1125691691944856,.0507981627167035,14816.36199504503,.0404831746139151,.674730987548828,.2670617,.27765,.2004302,.2580844759941101,1553748989.422256,.43350298661458,.0507271003723145,.1826985092607471,.4280355,.1503855
MAR,23631.30851106463,5903.401021283691,6872.798311588829,3464.934373216442,.06971718,4.002999021388863,.0546819917051088,.308896431803226,.1046320324578163,3464.934373216442,.0743821597818001,.6685699462890631,.1788267,.3425907,.8209375,.1713933348655701,6670032599.964371,.31907050906181,.0526064014434814,.1794783233752727,1.1635282,.8209375
MDA,8706.578208227482,3770.714502239769,4370.890314889069,3540.471785383904,.14525295,2.308999581659088,.1215948916744245,.2382658882221685,.0648736862549479,3540.471785383904,.3015065195418478,.721729278564453,.3451114,.3278984,.3734812,.2107683569192886,1758540000,.40796002819707,.075922999382019,.1821365556014899,.7013796,.3734812
MDG,8916.764281172478,1866.994487779448,1997.267263802682,729.8971074091318,.02291204,4.775999254169108,.0184790113494663,.2043808539150331,.0090398705128855,729.8971074091318,.0396855249754053,.5374492263793951,.0790264,.1163491,1.4690817,.1337311267852783,343809925.7736626,.13830945056958,.0238168001174927,.131160749733949,1.0690772,.9527281000000001
MDV,62148.16769890842,20806.22049578581,22549.9008307798,7807.724056487119,.04458457,2.986999378935554,.0421770248611387,.0583570279906759,.0020979623215641,7807.724056487119,.0023014777624868,.65015625,.1519084,.3004610171277413,.3187037,.2686044573783875,4016591.409315818,.40075443429877,.0411746978759766,.1879129836899454,.5908662,.3187037
MEX,47618.48004381549,10374.39838390838,14921.13478180407,7978.798676554313,.11627854,4.589999176981292,.1220794337047705,.100973645412571,.1407374579452551,7978.798676554313,.0241209267616853,.639725723266602,.1420939,.1524485,.4064967,.1797375828027725,23370358608,.262826,.0515922021865845,.1177136330862857,.5589451999999999,.4064967
MKD,11751.34945770396,4469.89422804308,5270.613569268981,4063.425531760066,.10623732,2.628999447901634,.1099669387465551,.1295181084349801,.1625504855858571,4063.425531760066,.0400878763134704,.7091564178466799,0,0,0,.2752552330493927,400797738.4,.32018485471532,.033010021,.1829058578171307,.4991763,.2270138
MLI,16559.12637017529,3467.154326736793,3546.463175515923,1145.485782287594,.0082709,4.775999222901729,.006057822955624,.2787605175802124,.0130759107803643,1145.485782287594,.0421073412773772,.503021583557129,.0630255,.356859,1.2855564,.1771883815526962,593809842.9998323,.2280862066996,.0334388995170593,.1568764548050186,1.6424154,1.2855564
MLT,46245.17548278849,16433.96847945623,21763.23155267065,13962.18022636425,.19009017,2.813999280855299,.1787671016681316,.29191041349223,.2365335866479354,13962.18022636425,.0292589717817847,.698875579833984,.2318217,.3291001,.5631045,.2376310080289841,236233002.9391278,.3609633333333332,.0645488977432251,.1906336390812592,.8922046,.5631045
MMR,19443.59650269799,4216.785934892144,5801.16737519336,3103.824243222329,.10515914,4.610999183480088,.104052088468946,.01422487118953,.0025042916758583,3103.824243222329,.0043412497353837,.688354949951172,.0658551445086705,.1139294,.1155094,.0788977891206741,125152588.9033785,.18449162499512,.0078744000196457,.1081633212458663,.2294388,.1155094
MNG,5625.842195998742,1248.245660399778,1677.542814059047,1001.308042072294,.10168531,4.506999202542346,.0980668616141737,.0457440458729667,.0065485212377092,1001.308042072294,.0431597487318258,.692326736450195,.1240333,.1540936,.1830546,.2278508692979813,252787107.5841694,.3661160443103,.0464510011672974,.1268812569770802,.2050264,.0509328
