isoo,isod,Nijl,Nijh,dums
ALB,CHL,0,0,0
ALB,CHN,0,0,0
ALB,CIV,0,0,0
ALB,CMR,0,0,0
ALB,COG,0,0,0
ALB,COL,0,0,0
ALB,COM,0,0,0
ALB,CPV,0,0,0
ALB,CRI,0,0,0
ALB,CUB,0,0,0
ALB,CYP,0,0,0
ALB,CZE,110,100,0
ALB,DEU,0,0,0
ALB,DJI,0,0,0
ALB,DNK,84,66,0
ALB,DOM,0,0,0
ALB,DZA,0,0,0
ALB,ECU,0,0,0
ALB,EGY,0,0,0
ALB,ERI,0,0,0
ALB,ESP,1060,785,0
ALB,EST,3,3,0
ALB,ETH,0,0,0
ALB,FIN,129,31,0
ALB,FJI,0,0,0
ALB,FRA,2906,1311,0
ALB,FSM,0,0,0
ALB,GAB,0,0,0
ALB,GBR,6764,3849,0
ALB,GEO,0,0,0
ALB,GHA,0,0,0
ALB,GIN,0,0,0
ALB,GMB,0,0,0
ALB,GNB,0,0,0
ALB,GNQ,0,0,0
ALB,GRC,312982,26788,0
ALB,GRD,0,0,0
ALB,GTM,0,0,0
ALB,GUY,0,0,0
ALB,HND,0,0,0
ALB,HRV,0,0,0
ALB,HTI,0,0,0
ALB,HUN,93,52,0
ALB,IDN,0,0,0
ALB,IND,0,0,0
ALB,IRL,439,119,0
ALB,IRN,0,0,0
ALB,IRQ,0,0,0
ALB,ISL,24,3,0
ALB,ISR,0,0,0
ALB,ITA,267375,27015,0
ALB,JAM,0,0,0
ALB,JOR,0,0,0
ALB,JPN,17,16,0
ALB,KAZ,0,0,0
ALB,KEN,0,0,0
ALB,KGZ,0,0,0
ALB,KHM,0,0,0
ALB,KWT,0,0,0
ALB,LAO,0,0,0
ALB,LBN,0,0,0
ALB,LBR,0,0,0
ALB,LBY,0,0,0
ALB,LCA,0,0,0
ALB,LKA,0,0,0
ALB,LSO,0,0,0
ALB,LTU,0,0,0
ALB,LUX,173,71,0
ALB,LVA,3,6,0
ALB,MAR,0,0,0
ALB,MDA,0,0,0
ALB,MDG,0,0,0
ALB,MDV,0,0,0
ALB,MEX,0,13,0
ALB,MKD,0,0,0
ALB,MLI,0,0,0
ALB,MLT,0,0,0
ALB,MMR,0,0,0
ALB,MNG,0,0,0
ALB,MOZ,0,0,0
ALB,MRT,0,0,0
ALB,MUS,0,0,0
ALB,MWI,0,0,0
ALB,MYS,0,0,0
ALB,NAM,0,0,0
ALB,NER,0,0,0
ALB,NGA,0,0,0
ALB,NIC,0,0,0
ALB,NLD,808,211,0
ALB,NOR,183,106,0
ALB,NPL,0,0,0
ALB,NZL,0,0,0
ALB,OMN,0,0,0
ALB,PAK,0,0,0
ALB,PAN,0,0,0
