iso,Lambdap,LambdaNMp,LambdaPESCp,LambdaSCp,Hr,Hn,HrNMp,HrPESCp,HrSCp,HnNM,HnPE,HnGE
"CZE",1.13928224875785,1.08729319761404,1.12671766749044,1.12347529676106,0.144596995401425,0.14839930126201,0.0974543317984427,0.132055444687808,0.133408643372163,0.0974543317984427,0.136517863389572,0.133408643372164
"DEU",1.22232073490992,1.18798053219461,1.210652472906,1.20158484684528,0.261352921248442,0.276591157752525,0.240628493906649,0.250567669448798,0.255121430870003,0.240628493906649,0.264600444931079,0.255121430870003
"DJI",3.43204810844865,2.63254655105486,2.62817297296133,2.62919514350092,0.022226084069534,0.0287818433751234,0.0223384467852015,0.0223314761139486,0.0223053189697046,0.0223384467852015,0.022295202902873,0.0223053189697046
"DNK",1.38697692230583,1.3107968789506,1.35959599800662,1.34923027134628,0.22609496840859,0.228497331879254,0.194180919046239,0.207614057633714,0.211978154529721,0.194180919046239,0.216605896121792,0.211978154529721
"DOM",1.82305802181554,1.71997353505857,1.73307267556512,1.7315200663883,0.139061184898641,0.146177335861172,0.135532937025126,0.136061459060746,0.136788250891777,0.135532937025126,0.136955771378524,0.136788250891777
"DZA",2.75720242551484,2.54359635438282,2.56106130894386,2.55779334507997,0.103780939316894,0.111524283395874,0.101615747637633,0.101842780314358,0.102311114203006,0.101615747637633,0.102470402507785,0.102311114203006
"ECU",1.91565250746511,1.90392751826161,1.90774274204127,1.90723160189666,0.17204624474564,0.17292254597396,0.170719518656093,0.171153695889987,0.171341711675117,0.170719518656093,0.171437867683314,0.171341711675117
"EGY",2.28965987878702,2.20477444828158,2.22173267722462,2.21817299394523,0.126023835530619,0.130243900767276,0.122955621718897,0.12360749089817,0.124129537819669,0.122955621718897,0.124439919646284,0.124129537819669
"ERI",4.07246237695561,2.9164481042548,2.9586981213681,2.94992153627478,0.0222407219909751,0.0307850503299138,0.0212019509728201,0.0213289021892005,0.0215426065891379,0.0212019509728201,0.0216312060758864,0.0215426065891379
"ESP",1.37882056663496,1.35903960288671,1.38640105815169,1.37624349268121,0.190631100833412,0.186068428496427,0.17891927741621,0.181844219337753,0.18514867649109,0.17891927741621,0.188754067436001,0.18514867649109
"EST",1.54736989663063,1.52422987338433,1.55121188162776,1.53959591996019,0.315014655907098,0.311739792058407,0.303093604464387,0.303668212303546,0.308864064007202,0.303093604464387,0.313150366057519,0.308864064007202
"ETH",3.27037441885393,2.98775494493828,3.01306717014686,3.00721561177417,0.0248488878948873,0.0271356256732945,0.0241901223061024,0.0242665913940935,0.0244033448842555,0.0241901223061024,0.0244671475648084,0.0244033448842555
"FIN",1.51972246498395,1.55506543651596,1.54224924788304,1.53665684376421,0.385200470661708,0.385123005306595,0.401964567157427,0.391170075043244,0.393289211613238,0.401964567157427,0.395946626362023,0.393289211613238
"FJI",4.13287134019967,2.48038875237503,2.49481150775867,2.49548041850613,0.123775908024994,0.190526609876627,0.120967805874998,0.12124782902595,0.121908456132029,0.120967805874998,0.121866931853405,0.121908456132029
"FRA",1.40672944631055,1.35535494465296,1.40254232266852,1.3761944945503,0.227508687203152,0.232644650615833,0.210963514646441,0.210345445604669,0.219953386638252,0.210963514646441,0.230937046214372,0.219953386638252
"FSM",2.69757626189426,2.48370759520736,2.46929538519855,2.46892508001553,0.138054136000196,0.148180273313035,0.140663909475853,0.14081318245957,0.140096267129776,0.140663909475853,0.140110569686001,0.140096267129776
"GAB",2.794740374987,2.26576928186619,2.31079663758883,2.3011366857577,0.0443961100187349,0.0541991522367968,0.0415912554711265,0.0420169426329755,0.0425560336280439,0.0415912554711265,0.042816188779998,0.0425560336280439
"GBR",1.5289628862149,1.42645697252865,1.52676551056294,1.49614115038659,0.271011042700924,0.255512562383147,0.220800749135639,0.231923536188532,0.244915730771174,0.220800749135639,0.25481734756073,0.244915730771174
"GEO",1.71600039288169,1.76027465306471,1.74428001132306,1.74673020406749,0.489857505845606,0.483493709698077,0.500478040702265,0.496723525705531,0.495373578088778,0.500478040702265,0.494441712733251,0.495373578088777
"GHA",2.91622472923928,2.40784379385206,2.43853936187597,2.43187561162817,0.0479611986506764,0.0575051879456819,0.0460657742704433,0.0462890395611264,0.0466820741444541,0.0460657742704433,0.0468514923924879,0.0466820741444541
"GIN",3.34357131407992,2.98775495526076,3.01712099937472,3.01040512709182,0.0248335312509494,0.0277090464005303,0.0240695157838731,0.0241574095459519,0.024316296435701,0.0240695157838731,0.0243890569814015,0.024316296435701
"GMB",3.76875659845896,2.89783934333422,2.86589140731226,2.87258260382863,0.0388719522819813,0.0499707496007716,0.0401701010145912,0.0401480137736327,0.0398172467673505,0.0401701010145912,0.0397229744570062,0.0398172467673505
"GNB",4.96770714310919,2.98775496744487,2.98068406649594,2.98207835608665,0.0106890961740847,0.017647634173719,0.0107745454516288,0.010765065616503,0.0107467088378785,0.0107745454516288,0.0107398623421356,0.0107467088378785
"GNQ",3.20621505242836,2.48891906036661,2.39531031829368,2.41666466006331,0.0442840017251743,0.0563275858178524,0.0489695664748899,0.0494555911140664,0.0479862278930917,0.0489695664748899,0.0476842508307789,0.0479862278930917
"GRC",1.29439069588701,1.28135754056719,1.28985571216325,1.28819294405286,0.184253056893219,0.185003090969513,0.178611129531519,0.181245317149765,0.181979603515225,0.178611129531519,0.182793613864162,0.181979603515225
"GRD",4.79512078906567,2.34796169971911,2.21988364494735,2.15462924773833,0.110295379569421,0.202026554147945,0.146544306213645,0.147173885307613,0.136789388623985,0.146544306213645,0.140271874989878,0.136789388623985
"GTM",3.521950115971,3.31605225092637,3.2738699478034,3.28228435597744,0.0499533836848826,0.0528910018993195,0.0515888076288594,0.0519284869476358,0.0513596496820719,0.0515888076288594,0.0513018115243263,0.0513596496820719
"GUY",7.04924842676442,2.74434180219015,2.63907535055166,2.57530409044269,0.0936028808744782,0.209649963774215,0.118522520976207,0.117419155654602,0.110192394794453,0.118522520976207,0.113426097094964,0.110192394794453
"HND",4.23125679661128,3.57396494507682,3.51501370848274,3.52480218435366,0.0531513681667189,0.0623173352900418,0.0557512164666583,0.0559348690852813,0.055178623050689,0.0557512164666583,0.0550630465509122,0.0551786230506889
"HRV",2.28463076328715,2.24304148742982,2.24199298201615,2.24215420468206,0.137134951882622,0.139323379649607,0.137312483071324,0.137316199975761,0.137268769030233,0.137312483071324,0.137260822307239,0.137268769030233
"HTI",6.15772159603489,2.97767577271808,2.92208622598415,2.92832457232637,0.0292015403434316,0.0585613840558147,0.0313010494737868,0.0310568367890108,0.0305860673767907,0.0313010494737868,0.0304947244458245,0.0305860673767907
"HUN",1.46857532984529,1.34180740932799,1.39836017904132,1.39179579586497,0.134804508439591,0.139497444264472,0.111371571226374,0.121058097431606,0.123074282035525,0.111371571226374,0.124548909828881,0.123074282035525
"IDN",2.6944780990789,2.65285485214146,2.64694581191001,2.64861780172502,0.0657578604105989,0.0667207616494521,0.0661029622210303,0.0661513016731001,0.0660389842382673,0.0661029622210303,0.0660136814153157,0.0660389842382672
"IND",2.78673603773066,2.67722900666771,2.68401975657645,2.68238174322645,0.0810890268676146,0.0841267901405198,0.0805053329032159,0.0805484122833643,0.0806806107408055,0.0805053329032159,0.080736226881154,0.0806806107408054
"IRL",1.48044850544864,1.52130708868161,1.54596331625284,1.50914441502186,0.404190710108615,0.394146326101531,0.416179499412184,0.39060193179996,0.409745436451222,0.416179499412184,0.428912023263956,0.409745436451222
"IRN",2.69816939570572,2.51254942260692,2.49328881577238,2.49831194550996,0.1186302112745,0.126287481162628,0.120793471946528,0.120992585121803,0.120338357874407,0.120793471946528,0.120176548512513,0.120338357874407
"IRQ",2.49141691750735,2.35960245846665,2.37994094217175,2.37588954852447,0.146872285053211,0.153815000816231,0.143053187150836,0.143707068666081,0.144426724722826,0.143053187150836,0.144766426308737,0.144426724722826
"ISL",1.90362450386162,1.721637659575,1.77267751326159,1.7481858229316,0.302641927553509,0.325528965452599,0.287448707730459,0.283190494390378,0.293497770046589,0.287448707730459,0.298917583706775,0.293497770046589
"ISR",1.34065159443849,1.28198693665171,1.38477959793261,1.33402372643759,0.343449060962782,0.323000531652984,0.279610921011593,0.293523742771535,0.318289640087542,0.279610921011593,0.353215798467413,0.318289640087543
"ITA",1.45750401346314,1.401717335981,1.41932697126262,1.42440204928779,0.110100141430927,0.111342200795258,0.101656413106296,0.106496852416002,0.105686504665455,0.101656413106296,0.104796069443744,0.105686504665455
"JAM",4.20725541017583,2.73297799320776,2.73201091967727,2.73181837216598,0.154460539997849,0.21949400174542,0.154690954980556,0.154677195399801,0.154618970004252,0.154690954980556,0.154630925771902,0.154618970004252
"JOR",2.04515154101126,1.95568395118103,1.9632693086812,1.96160138560308,0.217229554258109,0.224931949708882,0.215086423135847,0.215301240578092,0.215765347506688,0.215086423135847,0.215955973779743,0.215765347506688
"JPN",1.40796911244553,1.39808119944699,1.40439862403967,1.40239723537477,0.331655943870863,0.332949326263159,0.327177369122192,0.328790591058309,0.329706816174089,0.327177369122192,0.330874469653523,0.329706816174089
"KAZ",1.86387481248365,1.9208930578206,1.91336614793066,1.91470794034301,0.232566519911179,0.227231855967403,0.23503966289162,0.234740170144775,0.234215188120023,0.23503966289162,0.234035623880372,0.234215188120023
"KEN",3.77247280475559,2.98293625403731,2.94466771935764,2.95402376116489,0.0295182335053084,0.0370418395947257,0.0306124009705506,0.0306131977410312,0.0303259515580252,0.0306124009705506,0.0302323299395145,0.0303259515580252
"KGZ",1.92745701667257,1.90020767451645,1.9087830937099,1.90714905238672,0.109958671144165,0.111359904096924,0.108111203189745,0.108701619296235,0.108943219762711,0.108111203189745,0.109138638405958,0.108943219762711
"KHM",3.85874578586536,2.87116608116398,2.82758472350001,2.83735275493532,0.0196561848286401,0.0262398098071511,0.0205673113432226,0.0205522635609434,0.0203191428680885,0.0205673113432226,0.0202466174509269,0.0203191428680885
"KWT",1.99531119559972,1.84564349393135,1.85907082954087,1.85613988662378,0.16403567051169,0.175009732195667,0.160750912264108,0.16114161210294,0.161825880177249,0.160750912264108,0.162123879083974,0.161825880177249
"LAO",3.64156936355015,2.80131180492302,2.7844169092292,2.7874024727642,0.0487729955853479,0.062488351413836,0.0496983177821919,0.049665470787749,0.0494370588131997,0.0496983177821919,0.0493807263591355,0.0494370588131997
"LBN",2.67111989820062,2.21673215316105,2.19955491694332,2.20200694616697,0.170323777308052,0.198313166446219,0.173987915590357,0.173986337335301,0.173031675771474,0.173987915590357,0.172871200001285,0.173031675771474
"LBR",7.68447209073432,2.93324097025277,2.77142581861311,2.80028306079786,0.00967544653953449,0.024956504452203,0.0117976013753147,0.011486900526081,0.0110315204733698,0.0117976013753147,0.0108600961428002,0.0110315204733698
"LBY",2.33898950570174,2.18428198178995,2.21183875693289,2.20630521506818,0.0989480847996869,0.105218941931634,0.0948962859738865,0.0957114643777187,0.0964217671299518,0.0948962859738865,0.0968020671194044,0.0964217671299518
"LCA",3.30955413394016,2.69556172858376,2.63526967898385,2.63538715307568,0.14779543870328,0.175550290823474,0.158236700989414,0.159104748885328,0.156105805130592,0.158236700989414,0.156101549974432,0.156105805130591
"LKA",3.30045153763546,2.84796300472998,2.77251291698554,2.79154056393517,0.0778089720684845,0.0890702530960938,0.0829185859039039,0.083734622260637,0.0820116709959767,0.0829185859039039,0.0816975040274907,0.0820116709959767
"LSO",3.01884801822475,2.98775490277362,2.98766487347401,2.98768815496168,0.043357774588011,0.0437892339371828,0.0433613481845815,0.0433613491846358,0.0433604222226838,0.0433613481845815,0.0433600992417139,0.0433604222226838
"LTU",1.67342842796604,1.80562155129643,1.76554293965656,1.7708774701889,0.405320036593881,0.387133668765988,0.429221023626019,0.422594058487452,0.418767992879142,0.429221023626019,0.41712662455466,0.418767992879142
"LUX",1.28988077177408,1.20870915381636,1.29870304491859,1.27443829760856,0.249934648496044,0.232387189882343,0.178550894544368,0.210549525681005,0.222673352134772,0.178550894544368,0.237833011560443,0.222673352134772
"LVA",1.71807267877305,1.6062661528429,1.63410058196057,1.61484928920895,0.275208814448612,0.29877867417107,0.269816521540658,0.264805963961445,0.272182001277609,0.269816521540658,0.277397211764696,0.272182001277609
"MAR",3.42080396459012,2.64040069718769,2.64401016393484,2.6434785172602,0.0546820179244648,0.0697172024800846,0.0544367799172775,0.0544525081061703,0.0545102147673084,0.0544367799172775,0.0545228869479154,0.0545102147673084
"MDA",2.2052795201363,1.79637374078376,1.894024268933,1.88062976715683,0.121594831733206,0.145252901179316,0.0975904693043793,0.104869701761853,0.108285440707709,0.0975904693043793,0.109943643053054,0.108285440707709
"MDG",3.72131320971248,2.98775495424567,3.02547057232267,3.016862505521,0.0184789507442733,0.0229119803321351,0.0177496032941389,0.0178307372578162,0.017983180179222,0.0177496032941389,0.0180517585691644,0.017983180179222
"MDV",2.27963937620259,2.15111977452596,2.14491018359634,2.1465336743198,0.0421769996762297,0.0445845353288424,0.0425029154458177,0.0425135417093471,0.0424240287001468,0.0425029154458177,0.0423960217516042,0.0424240287001468
"MEX",2.77729673891726,2.90582078142829,2.92891070900456,2.92900132682413,0.122079412339307,0.116278535580151,0.119172246620954,0.119301376914353,0.119667123484199,0.119172246620954,0.119665204153536,0.119667123484199
"MKD",1.89257165992026,1.96722188148664,1.96280170099413,1.96330511503704,0.109966770125058,0.106237176532561,0.110753771862546,0.110717188549387,0.11052533178939,0.110753771862546,0.110495904730291,0.11052533178939
"MLI",4.08836708805623,2.98775494055357,2.91560143380076,2.93329005782901,0.00605779073939362,0.00827086846043376,0.00649747927135184,0.00650063651481219,0.00638264612957219,0.00649747927135184,0.00634464386662762,0.00638264612957218
"MLT",2.22448013605545,2.06313091822177,2.06605451503184,2.06601106006301,0.17876710525821,0.190090179367753,0.177949359566404,0.17797894787331,0.178182700491352,0.177949359566404,0.178186216107837,0.178182700491352
"MMR",2.94978056986992,2.91512063539316,2.91625656240014,2.91597302762175,0.10405209140559,0.105159142905097,0.103944097569484,0.10394797618564,0.103974244500441,0.103944097569484,0.103984269411042,0.103974244500441
"MNG",2.98679675643047,2.86893848855467,2.87259112866683,2.87170172120871,0.0980666199357183,0.101685618215428,0.0977279824092111,0.0977420873987522,0.0978236040640799,0.0977279824092111,0.0978543522784136,0.0978236040640798
"MOZ",4.96075335426934,2.98775491833454,2.82911684125916,2.86759426291368,0.0050949412707657,0.00843107813941393,0.00596183221735857,0.00596107356077176,0.0057253096026758,0.00596183221735857,0.00564635104085556,0.0057253096026758
"MRT",3.04382545509313,2.91910234161765,2.92002216944381,2.91979832445999,0.0603233724747828,0.0627390766306872,0.0602705503119441,0.0602715014503535,0.0602847746011662,0.0602705503119441,0.0602893483746851,0.0602847746011662
