iso,Lambda,LambdaNM,LambdaPESC,LambdaSC,Hr,Hn,HrNM,HrPESC,HnSC,Niih,Niil,Mh,Ml,L,N,LIC,LMIC,UMIC,HIC,mH,mL,HnNM,HnPE,HnGE
"CHL",2.03256679201687,1.96722184590335,1.98760293351499,1.98564056894369,0.137095718603184,0.137114320541482,0.132703459991414,0.133570398767377,0.133976127713518,1279849,8321865,66938.9999999927,153719.99999994,9756045,9822373,0,0,0,1,0.0497027000537521,0.0181368011765489,0.132703459991414,0.134110329691227,0.133976127713518
"CHN",1.36033987976765,1.33563006879596,1.34597146628596,1.34426124959223,0.0810843292331025,0.0824607297425965,0.0782270492468068,0.0794518697549498,0.0797235695769064,66460859,753190233,1361433.9999983,1467376.99996558,819651092,822479903,0,0,1,0,0.0200735472036945,0.00194442748674538,0.0782270492468068,0.080017817823136,0.0797235695769063
"CIV",3.33860234328055,2.98775492858084,3.08988522425387,3.07103272065561,0.0380283985415369,0.0423050959398386,0.0330368287598623,0.0346173038815316,0.035256944239067,302660,7656129,39136.9999999983,81407.9999991917,7958789,8079334,0,1,0,0,0.114503638124379,0.0105211774753635,0.0330368287598623,0.0357583120722122,0.035256944239067
"CMR",3.77878602627884,2.98775492710858,3.17526820274395,3.13994016016185,0.0298982740563108,0.0375170943524476,0.0232007215658054,0.0251640846764037,0.0260447963294973,210419,6827412,58267.9999999975,65622.9999989592,7037831,7161722,0,1,0,0,0.216861999277961,0.00952018958252196,0.0232007215658054,0.0267012279980924,0.0260447963294973
"COG",3.14695640042356,2.98775489912355,3.03906325646733,3.02975257888604,0.0489396666369806,0.0514133278356583,0.0455706762730606,0.0466949232683301,0.0471164133033925,212666,4132807,13772.9999999957,45039.9999995058,4345473,4404286,0,1,0,0,0.0608243279646868,0.0107806724371442,0.0455706762730606,0.0474587530724268,0.0471164133033925
"COL",2.97406946384753,2.90759304476392,2.89800375130886,2.90045637416894,0.167592978054953,0.17077032507283,0.168792517796793,0.168963076439105,0.168574798574105,3850659,19125596,218505.999999943,633529.999997695,22976255,23828291,0,0,1,0,0.0536979945516938,0.0320626529735017,0.168792517796793,0.168499728546884,0.168574798574105
"COM",3.83776681609486,2.98775495799861,3.25008146572481,3.21716454665665,0.0384391445526817,0.0488409059461576,0.0251037220344185,0.029731969531695,0.0313451853471368,10299,257631,4173.00000000013,24206.0000000545,267930,296309,1,0,0,0,0.288349917081269,0.0858865230613955,0.0251037220344185,0.0322582430044341,0.0313451853471368
"CPV",4.56928753191555,2.5674762566356,2.84588993185122,2.87283885606322,0.0280931903291657,0.0489252592695258,0.0149881585208513,0.0181174138581522,0.0205363097266405,6069,209962,10169,105693.999999998,216031,331894,0,1,0,0,0.626247074762901,0.334839192031826,0.0149881585208513,0.020042665489516,0.0205363097266405
"CRI",2.04803198578853,1.98499659259549,1.98828563267765,1.98754783581528,0.154635823768279,0.158766785998379,0.153956068921944,0.153998806012402,0.154156699146316,395277,2160903,23465.0000000017,57820.9999998478,2556180,2637466,0,0,1,0,0.0560368914510647,0.02606047439873,0.153956068921944,0.154214623645899,0.154156699146316
"CUB",2.80824542293441,2.1516238476321,2.40393118024287,2.38060144787668,0.0956212214925367,0.121263794874631,0.0499340378719737,0.0684756050988549,0.0733864489756577,737751,6977597,332425.999999996,777424.000000611,7715348,8825198,0,1,0,0,0.310627120560427,0.100247826537235,0.0499340378719737,0.0758958853096153,0.0733864489756577
"CYP",1.82454513098331,1.74817102707399,1.76267301207311,1.76116928529787,0.299666541424009,0.308716707021792,0.292359546672179,0.293857303722317,0.295243581172384,229698,536814,49271.9999999999,87860.0000000012,766512,903644,0,0,0,1,0.176621142058285,0.14064936270759,0.292359546672179,0.295574480882584,0.295243581172384
"CZE",1.13928224875785,1.08729319761404,1.12674537198626,1.12347529676106,0.144596995401425,0.14839930126201,0.0974543317984427,0.132047117690122,0.133408643372163,1180622,7099041,90781.0000000081,197002.000000065,8708784,8567446,0,0,0,1,0.0714022225840336,0.0270012114786144,0.0974543317984427,0.136544353073751,0.133408643372164
"DEU",1.22232073490992,1.18798053219461,1.21067852687003,1.20158484684528,0.261352921248442,0.276591157752525,0.240628493906649,0.250555564400046,0.255121430870003,16571914,44595809,1169075.99999999,1804767.00000009,67221311,64141566,0,0,0,1,0.0658968862504287,0.0388953576783204,0.240628493906649,0.264627476358396,0.255121430870003
"DJI",3.43204810844865,2.63254655105486,2.85910167161048,2.81878549803363,0.022226084069534,0.0287818433751234,0.0151725319240406,0.0175656358071883,0.018355312039099,8569,376969,2710.00000000008,3630.99999992464,385538,391879,0,1,0,0,0.240269527440383,0.00954019968451035,0.0151725319240406,0.0190485267782606,0.018355312039099
"DNK",1.38697692230583,1.3107968789506,1.35977129282902,1.34923027134628,0.22609496840859,0.228497331879254,0.194180919046239,0.2075509005084,0.211978154529721,777552,2777919,69340.0000000033,81542.9999999933,3816069,3706354,0,0,0,1,0.0818758472154694,0.0285169028299706,0.194180919046239,0.216683549194432,0.211978154529721
"DOM",1.82305802181554,1.71997353505857,1.73307267556512,1.7315200663883,0.139061184898641,0.146177335861172,0.135532937025126,0.136061459060746,0.136788250891777,695748,4307431,157238.999999988,674870.999999996,5003179,5835289,0,0,1,0,0.184339268945468,0.135453651745718,0.135532937025126,0.136955771378524,0.136788250891777
"DZA",2.75720242551484,2.54359635438282,2.62990912139624,2.61865613487332,0.103780939316894,0.111524283395874,0.0881627240342493,0.0946330647942416,0.096302986411664,1990238,17187060,307128.000000069,1115266.99999879,19177298,20599693,0,1,0,0,0.133687013736631,0.0609358034089756,0.0881627240342493,0.0975310889487694,0.096302986411664
"ECU",1.91565250746511,1.90392751826161,1.91130846506113,1.91072985538051,0.17204624474564,0.17292254597396,0.167410993725074,0.170324493787672,0.170599594106916,1295661,6235227,133949.000000037,602506.000000281,7530888,8267343,0,1,0,0,0.0936961828750759,0.0881148766704229,0.167410993725074,0.170871963845255,0.170599594106916
"EGY",2.28965987878702,2.20477444828158,2.24981715886331,2.24372683000379,0.126023835530619,0.130243900767276,0.112609946343201,0.119732367212638,0.120614985255116,4658892,32309448,205656.999999781,175536.999997439,36968340,37349534,0,1,0,0,0.0422766838199761,0.00540363494080232,0.112609946343201,0.121880324434159,0.120614985255116
"ERI",4.07246237695561,2.9164481042548,3.25502007942399,3.20023552159624,0.0222407219909751,0.0307850503299138,0.0128950719554198,0.0161490711629076,0.0171468210447397,44482,1955543,19437.0000000007,56837.9999993342,2000025,2076300,1,0,0,0,0.304087986357745,0.0282441545608581,0.0128950719554198,0.0179900982120805,0.0171468210447397
"ESP",1.37882056663496,1.35903960288671,1.38693281381511,1.37624349268121,0.190631100833412,0.186068428496427,0.17891927741621,0.181678292305185,0.18514867649109,6740901,29916363,205480.000000021,469655.999998687,40889393,37332400,0,0,0,1,0.0295808709600037,0.0154563189076755,0.17891927741621,0.188941357489004,0.18514867649109
"EST",1.54736989663063,1.52422987338433,1.55123961746319,1.53959591996019,0.315014655907098,0.311739792058407,0.303093604464387,0.303656768775557,0.308864064007202,303699,680687,21410.9999999993,37091.9999999961,1036101,1042889,0,0,0,1,0.0658577096982538,0.0516760729973935,0.303093604464387,0.313160523788749,0.308864064007202
"ETH",3.27037441885393,2.98775494493828,3.09912487836564,3.08055554992356,0.0248488878948873,0.0271356256732945,0.0207540263365372,0.0224178214023276,0.0228168926579073,754965,29627280,76354.9999999891,177141.000014783,30382245,30635741,1,0,0,0,0.0918479045373491,0.00594344711527134,0.0207540263365372,0.0232340407910695,0.0228168926579073
