isoo,G,gnic,lic,lmic,umic,hic
"PRT",0.242673134004097,14436.0119173057,0,0,0,1
"PRY",1.21399564768053,3294.68599033816,0,1,0,0
"QAT",0.340071549891327,17311.09411013,0,0,0,1
"ROM",0.226406378525675,4895.16229300114,0,0,1,0
"RWA",0.491072095737174,1020.02117992005,0,1,0,0
"SAU",0.422974954231893,8435.31791359805,0,0,1,0
"SDN",0.78510168600055,1524.10131120154,0,1,0,0
"SEN",0.673374052901705,1456.14798720329,0,1,0,0
"SGP",0.785181837336049,28106.8372739096,0,0,0,1
"SLB",0.99858491460351,2079.48723454424,0,1,0,0
"SLE",0.770175747177984,686.442436217726,1,0,0,0
"SLV",1.03962078531642,2940.4189074441,0,1,0,0
"SOM",0.780949901054917,978.065349286187,1,0,0,0
"SRB",1.12687321438837,3620.20835440477,0,1,0,0
"STP",0.553702862822094,1484.15446846899,0,1,0,0
"SUR",0.147320398315486,4182.61520771479,0,0,1,0
"SVK",0.582421895100619,13033.3080556593,0,0,0,1
"SVN",0.63092011025301,18170.443853722,0,0,0,1
"SWE",1.79682398232815,24409.1763405196,0,0,0,1
"SWZ",0.921762536089781,3150.2089803989,0,1,0,0
"SYR",0.16182701723889,8360.16108500553,0,0,1,0
"TCD",0.889395374940903,705.742475006026,1,0,0,0
"TGO",0.933573143657047,605.597888805195,1,0,0,0
"THA",0.219654897442314,8750.10142259136,0,0,1,0
"TJK",1.064828504058,1540.48807542984,0,1,0,0
"TKM",0.181542758635914,4382.8950093187,0,0,1,0
"TON",0.1669283063192,5109.59720488013,0,0,1,0
"TTO",0.17944181986935,21314.3785540211,0,0,0,1
"TUN",0.161810342065404,6102.71392989141,0,0,1,0
"TUR",0.15204726984152,8066.38154585552,0,0,1,0
"TZA",0.669104465372145,744.383145001132,1,0,0,0
"UGA",0.666522941385505,1007.93892572972,0,1,0,0
"UKR",0.365245871048022,5003.06561725442,0,0,1,0
"URY",0.257035332028355,9893.04197814836,0,0,1,0
