iso,mH,mL,mi,ywd,ypwdSC,w,wH,wL,wHd,wLd,wHdd,wLdd,wHGEd,wLGEd,wHSCd,wLSCd,wHGE4d,wLGE4d,wHSC4d,wLSC4d,ywdPESC,ywdSC,ypnd,LhNM,LlNM,LNM,LhNS,LlNS,LNS,LhPESC,LlPESC,LPESC,LhSC,LlSC,LSC,Lh,Ll,L,wHGE,wLGE,wHGE4,wLGE4,rpc,Nh,N,thetH,thetHNew,TFP,TFPNew,LiT,LiTNew,lic,lmic,umic,hic
"BRA",0.0261172454195853,0.00544416649883257,0.00741686649351621,10335.685719464,10328.9262821773,11804.848862852,48100.2267393626,8055.6414646985,42113.9510034272,7053.08296744184,42143.2479161746,7082.37988018933,42002.5200286947,7070.52816619976,41971.6117809957,7058.09428352005,41982.4341784389,7066.75624273863,42167.2822513801,7090.68525872454,10386.3582613559,10328.9262821773,10513.1235448701,10162110.2978487,97220434.7021513,107382545,10086355.1244955,96495688.4960476,106582043.620543,10097411.5725307,96328585.2693627,106425996.841893,10147476.9513321,97235068.0486679,107382545,9979212,96606891,106586103,47948.2991417728,8071.41570009776,47949.9357923222,8071.24490826534,29.2969127474902,10246831,107382545,0.657425268526549,0.657691676799962,42455.7674955326,42358.675996866,0.278050534926594,0.278818582514422,0,0,1,0
"BRB",0.581508895963127,0.24234765644817,0.307138699856734,17665.3211294503,17189.2598566402,21170.7906157404,50317.931182169,17368.9819582729,41986.2644261246,14493.0177409809,42629.3335775162,15136.0868923725,41348.0746311739,15275.5872161833,41346.5813815717,15068.9857649704,39733.9541574125,14696.6118230333,43587.3319015194,15900.6527259272,18269.0487240857,17189.2598566402,24960.5309554166,36445.68973388,231586.31026612,268032,23911.2137961862,151938.674160841,175849.887957027,23682.9208884717,151041.083302175,174724.004190647,34840.8285857542,233191.171414246,268032,21428,164281,185709,47920.4341336171,17703.6724823346,47880.1677226393,17709.6957492233,643.069151391622,51203,268032,0.511306966951469,0.515997194741309,52782.9601276658,50464.0365216504,0.40109138563913,0.409814808679659,0,0,0,1
"BRN",0.0861978664167381,0.0171016033851697,0.0266014295568082,38087.1767242124,37468.9755123595,43843.5519072501,90834.5299151339,36879.6380761661,78908.5428310466,32037.5797997255,78908.5428310466,32037.5797997255,79288.404104506,32018.0675801667,78791.173035083,31851.7320817243,79216.1647206176,31991.7535327598,79178.1986947449,32010.4765300027,37990.5710221174,37468.9755123595,37925.3685571102,33591.7787764403,230266.22122356,263858,32677.5914328028,223999.614548434,256677.205981237,32740.9463405287,224109.924221841,256850.87056237,33736.2020583481,230121.797941652,263858,33150,223689,256839,91195.6224867118,36826.4141115305,91189.6464390762,36827.2902873716,0,36277,263858,0.486696371954033,0.486303139167548,102542.183329789,101771.113135386,0.427566007310801,0.426931895769258,0,0,0,1
"BTN",0.0636292223095085,0.0117636374472504,0.0145978938895992,6260.58099543556,6161.65580303647,7294.4027662178,28323.5673874697,6142.60952630499,24309.3222834025,5272.02921133821,24333.9867813243,5296.69370925996,24754.5336772637,5253.47803954883,24549.2465835599,5232.54409393608,24732.1724074052,5249.36475655618,24725.956308689,5270.71674721381,6199.74577973602,6161.65580303647,6631.07377115551,17889.1335232399,354835.86647676,372725,17625.3429249211,349603.507659551,367228.850584473,18176.3328837777,350066.373428529,368242.706312306,18574.4049827562,354150.595017244,372725,19072,348212,367284,28819.0193629434,6116.05483336622,28816.2359668244,6116.20083384034,24.6644979217518,20368,372725,0.519028174033468,0.51695906831913,21199.1538994191,21106.9205485887,0.344089334924715,0.341711890076495,0,1,0,0
"BWA",0.0341528218185892,0.00226818114188672,0.00368593175118058,2733.38165475023,2734.46131486052,3344.24886141022,13736.3290399246,2876.11635535313,11227.2236180145,2350.75917147333,11236.0442250454,2359.57977850429,11170.9563242774,2354.61997566143,11175.9837547136,2352.5414889684,11166.1341331611,2353.53157811896,11224.444047019,2362.6845644684,2742.16849763786,2734.46131486052,2891.16625569974,124460.056293657,2719596.94370634,2844057,123995.747097488,2709451.24790287,2833446.99500036,124254.789334006,2706691.29627086,2830946.08560486,124167.237751378,2719889.76224862,2844057,122142,2711432,2833574,13661.2331812633,2879.52182490089,13661.5765819562,2879.50614859953,8.82060703095619,126461,2844057,0.503394757544526,0.503789580916242,9597.45035147842,9586.34025005671,0.348451801148944,0.348832524403756,0,0,1,0
"CAF",0.250615019904283,0.00505764847443298,0.00816658219382509,1280.91976521814,1252.02527975296,1341.84877762197,6025.36476631658,1296.61413672303,5751.77244301833,1237.73908303822,5751.77244301833,1237.73908303822,6426.45486459372,1232.07882537182,6209.11950124871,1218.22953903702,6427.0018190373,1231.91322958852,6221.71855597753,1220.48711945546,1254.09760330711,1252.02527975296,1504.31646082709,10479.1688020762,1755375.83119792,1765855,10383.093062532,1739282.08995002,1749665.18301255,12710.293550528,1742513.68400224,1755223.97755277,13434.3527647949,1752420.64723521,1765855,16754,1734680,1751434,6731.38012470593,1290.53904398708,6732.80113059335,1290.52815270697,0,22357,1765855,0.313512467137286,0.303251988463281,2633.16586049583,2626.55945705118,0.509595235815984,0.515579241090227,1,0,0,0
"CAN",0.0426408912406182,0.0397603861029684,0.0411944781238466,25163.3885362022,24611.9151018535,29197.8525836711,32401.4527651486,25941.922579468,27924.325692459,22357.3523214615,27966.3079683045,22399.334597307,28046.3339386876,22323.1078358759,27799.4157706748,22153.4519019068,28411.6280041418,21882.0739391042,28192.3119999731,21883.0309540028,24816.7056236773,24611.9151018535,26194.6413649515,12133308.6327156,12671666.3672844,24804975,12435153.7883322,17237936.6323744,29673090.4207066,14315033.1063521,15372564.9531716,29687598.0595237,12429881.6675175,12375093.3324825,24804975,14835053,14591461,29426514,32485.8327735281,25856.6681023992,32966.126783808,25389.8588163976,41.9822758454981,12349437,24804975,0.557357477070865,0.548884725017588,58342.4306541705,57701.9316347002,0.500456567480772,0.488822775075597,0,0,0,1
"CHE",0.102900388333065,0.0576195932695565,0.0674512991109692,25032.6071123687,23805.5566814459,27838.7118624234,41436.2260789282,23718.5094261143,37259.5101662438,21327.7155455011,37602.0877062291,21670.2930854864,38799.8367036982,20999.8897756435,37793.4525261929,20685.5799410019,39032.6328359652,20825.6073181898,38974.5557303318,21089.1208814373,24224.5592582595,23805.5566814459,24830.1099279295,1211778.65314998,4930460.34685002,6142239,1340999.57658712,5723945.3677303,7064944.94431742,1438605.63856829,5668496.0253957,7107101.66396399,1309278.6895958,4832960.3104042,6142239,1640920,5415373,7056293,42996.7402436736,23271.4073702032,43409.9012916909,23161.0704259012,342.577539985247,1333649,6142239,0.490228104986935,0.483801073493699,59679.5641337213,58703.1234960009,0.466469758392445,0.456181557628186,0,0,0,1
"CHL",0.0497027000537521,0.0181368011765489,0.0224649379533778,20944.0472103894,20578.8939164098,23059.7145389574,49556.5650160337,18849.9721200535,45009.8823004541,17120.5374346657,45016.4733524486,17127.1284866602,45484.1690035927,17072.1385024913,45137.5088847699,16987.1929153177,45370.4972630636,17063.8979527849,45303.4763192724,17077.2209142489,20810.9756809445,20578.8939164098,21116.0267027832,1303462.88242624,8518910.11757376,9822373,1300600.72810526,8455532.06758311,9756132.79568837,1305260.0578562,8466815.71567959,9772075.77353579,1315963.49949781,8506409.50050219,9822373,1337512,8418533,9756045,50025.052138869,18776.5246110501,49953.5857783533,18787.6029913266,6.59105199450707,1346788,9822373,0.511695642009047,0.510886798877103,55763.3583007982,55402.9059186673,0.413528080833454,0.412009133369784,0,0,0,1
"CHN",0.0200735472036945,0.00194442748674538,0.0034393679281959,10257.2807536594,10217.4403396076,10975.1228398253,15932.9243800648,10537.6506917819,14890.8108800493,9848.4220365519,14954.5857347608,9912.19689126337,15013.4690127859,9838.59170969926,14951.8054187256,9816.23182218204,15011.7047195784,9837.85401745257,15064.2002663105,9890.35840512436,10235.1668502081,10217.4403396076,10358.7127460099,64340175.8764899,758139727.12351,822479903,64117256.097377,755512996.030793,819630252.12817,65139945.8264595,754726799.001171,819866744.827631,65571033.7724277,756908869.227572,822479903,66460859,753190233,819651092,16062.8790203149,10526.2886431233,16062.2755212377,10526.3409264871,63.7748547114728,67822293,822479903,0.309935842130371,0.309102798677343,19524.2753231899,19503.1596483662,0.562127026901205,0.562165268961064,0,0,1,0
