iso,wHdd,wLdd,wHSCd,wLSCd,LhSC,LlSC,Lh,Ll
"PAK",14492.0893152965,4913.53222013009,14381.5257505331,4728.44830839796,3116814.14870734,72497195.8512927,3194104,71444364
"PAN",26063.3818344707,8909.90389301123,26022.8226370898,8773.75580283297,359513.087326296,1744512.9126737,335299,1630703
"PER",19202.2919925271,8129.58771282898,19087.6395837842,7952.43994658516,3017366.80335328,12417375.1966467,2901306,11803915
"PHL",13217.6421958538,4523.47911183588,12554.2337445657,3899.1106273845,11707001.9887769,32150044.0112231,11388809,29818662
"PNG",10780.3230479899,2444.39182192549,10788.6166597907,2441.92210406708,453101.207477751,2697916.79252225,449916,2670704
"POL",19381.1759962904,11949.6789716701,19460.2296672697,11617.5288547422,4938293.29030203,24767841.709698,4828526,22476290
"PRT",33488.2477043622,13495.6631458694,34053.6794135182,13184.9304803304,1130474.63044657,8374529.36955343,1115728,7731818
"PRY",15522.2775459196,5683.59505114358,15354.2650442452,5501.63325848999,331040.633599535,2722122.36640046,326386,2649205
"QAT",20727.494823491,7878.90149971513,20600.9191212858,7771.38367490699,505790.835075199,2500780.1649248,504715,2492734
"ROM",15103.0546767584,4532.86828350372,15316.0522687644,4581.01916530548,2346201.84925605,15855267.1507439,2023776,13918197
"RWA",11809.5168562762,2461.79434914277,11591.2430688446,2455.39906428892,27410.025912134,3807670.97408787,25150,3783696
"SAU",29212.3268953843,10402.3360833517,29206.6719503327,10385.4091618931,3201356.43330402,11489512.566696,3192155,11439119
"SDN",16266.1857673664,3479.00886998259,16093.8145820912,3371.00831518843,606517.298415538,12136311.7015845,601918,12059550
"SEN",16252.4978318929,3660.2469903974,15617.4341954425,3305.0739847263,139487.688711614,4685835.31128839,128873,4486065
"SGP",64602.5404673519,18596.0148388846,64830.4142912354,18637.3484678873,1612881.77584239,1914160.22415761,1566112,1850612
"SLB",13355.5596577015,2885.34739403078,13260.8928729837,2807.96354513858,29887.2262512817,179936.773748718,29667,178283
"SLE",8506.20072482383,1797.60394757614,8532.10600733797,1773.8070873138,54775.9431550164,2162076.05684498,54532,2102070
"SLV",16557.2712941219,6132.41252520995,15692.9227634417,4950.21499558683,334814.098737931,3624390.90126207,250449,2628921
"SOM",16367.5281575593,3427.03744568212,16575.5848378257,3443.65515161788,84957.0017500129,3138204.99824999,81782,2943450
"SRB",8313.3769909049,2795.49830838372,7618.78441837947,2242.0253717068,1096262.91234692,7496720.08765308,1034465,7045217
"STP",15496.6524642822,3302.21547904463,16238.4342660243,3586.09738133761,1365.09668618412,81294.9033138159,579,67054
"SUR",19832.8545953699,5785.38635393224,23151.0736873572,6773.5203070185,38190.7360262327,430356.263973767,15940,265107
"SVK",21385.7232747267,17312.899028829,21572.6515217487,16574.9254322477,435949.382312549,3579076.61768745,464157,3260114
"SVN",29793.5825027691,20098.7496688449,29803.5536649298,20067.9686988897,219105.638939231,1218155.36106077,238135,1326540
"SWE",34153.1630602428,27100.4703236116,33617.7496258391,26133.8214222298,1914482.6741601,4433969.32583991,2219316,4873746
"SWZ",13055.8144472126,3312.7021033604,12893.8217823461,3191.02444617291,56631.6293084336,708406.370691566,56578,704440
"SYR",43736.763108025,14595.2776150699,43566.6354951403,14455.6902343037,863887.440580967,9063765.55941903,846057,8917934
"TCD",5524.92197433793,1990.24596312183,5585.10495790594,1974.18890533575,38726.3428197219,3998686.65718028,41138,3987891
"TGO",5958.20690024658,1351.54116033724,5736.59487411916,1194.08429375455,142531.8136408,2326817.1863592,143049,2289912
"THA",30488.6013738102,10273.9472774429,30367.6580644765,10170.5669832534,5229253.09118885,39270254.9088111,5187264,38961981
"TJK",4110.15526016722,1433.53662509936,3619.49010128944,1076.26524378228,739333.127810074,7147739.87218993,739643,7136500
"TKM",20566.5762430247,6128.75233662114,20546.91779715,6115.8005099041,291393.968631709,2515847.03136829,290294,2509720
"TON",36240.9594458066,11398.7611845976,37754.6749439905,10845.9747649444,7811.79611581438,75346.2038841856,2902,38841
"TTO",90602.3030301865,28262.1165015888,96546.5114294446,31119.9894375297,103978.085898698,1020671.9141013,48979,783916
"TUN",29477.0508088489,7874.47617888915,29259.965262997,7629.39005410799,650434.847649169,5957914.15235083,586009,5512991
"TUR",37234.9253283585,10876.2269767061,37485.2663797274,10884.0947588294,3872162.01506546,40051632.9849345,3742280,38333285
"TZA",9068.07932896994,1910.89867779199,9087.51771489489,1888.07446545204,141775.016685168,15727938.9833148,144740,15647838
"UGA",13304.4511999218,2846.19876214556,13121.1878103729,2760.33151228566,262556.699566645,10294598.3004334,256314,10209389
"UKR",11289.4721488762,5068.53483637632,11097.1942995579,4840.51377346277,5946447.97203524,30871473.0279648,5817369,29566467
"URY",28693.1629911344,13136.8187442464,29003.3412703816,13156.6881806681,244241.019060593,1981851.98093941,233194,1848349
"USA",74073.725355937,45318.8881857574,74057.9705617242,45155.632234909,41744330.3990326,92054435.6009674,51903160,113253347
"UZB",29070.690715424,8708.57904149197,28637.190874923,8423.27226047491,1095459.19983308,12825933.8001669,1075576,12719879
"VCT",23670.8953375115,6362.37296575837,25011.5185148028,6750.13790152192,14148.5754128378,83539.4245871622,7270,52854
"VEN",34532.6809960736,14222.0671737531,34683.9496346097,14225.300913551,3063864.14818736,12325027.8518126,3020516,11998693
"VNM",16897.5463661177,4078.7823667105,16715.1497441631,3912.33790950481,3434937.54571284,49865028.4542872,3339908,48243023
"VUT",25323.3860923476,7049.82630959536,25184.1744618054,6853.19031658069,2598.33152527917,87756.6684747208,2577,85638
"WSM",28511.0306818773,9202.03871899727,30529.1005154184,8116.62680827287,10128.0331274669,122320.966872533,4752,66186
"YEM",22755.7428033165,5097.55900524612,22402.567326751,4846.42353047531,1087674.07539108,6948431.92460892,1078180,6885320
"ZAF",38076.4512815355,8004.70214422946,37355.5169875129,8091.33942044264,1138524.42856819,23651100.5714318,1002271,23312768
"ZAR",7090.65846784529,1518.16465591069,7056.74263593555,1464.54416356709,266662.77949041,9468000.22050959,270367,9320897
"ZMB",7881.31090835777,1657.53306675271,7904.89410147302,1643.03267443636,239296.034521401,5680797.9654786,242633,5620889
"ZWE",9205.56588735407,2165.11244140036,8692.99058009468,1806.74827355416,173248.026932708,4405335.97306729,171488,4254548
