o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"AGO","CUB",0,1,1,0,0
"AGO","CYP",0,1,1,0,0
"AGO","CZE",0,0.999991138880603,0.999999973038566,47,66
"AGO","DEU",0,1,1,0,0
"AGO","DJI",0,1,1,0,0
"AGO","DNK",0,0.999998922143076,0.999999985080767,22,74
"AGO","DOM",0,1,1,0,0
"AGO","DZA",0,1,1,0,0
"AGO","ECU",0,1,1,0,0
"AGO","EGY",0,1,1,0,0
"AGO","ERI",0,1,1,0,0
"AGO","ESP",0,0.999491947399706,0.999996639687428,1225,2370
"AGO","EST",0,0.999999955066888,0.999999999949334,2,1
"AGO","ETH",0,1,1,0,0
"AGO","FIN",0,0.999999544361409,0.999999924169977,12,194
"AGO","FJI",0,1,1,0,0
"AGO","FRA",0,0.99920670716013,0.999978825411399,2014,10375
"AGO","FSM",0,1,1,0,0
"AGO","GAB",0,1,1,0,0
"AGO","GBR",0,0.997760738079903,0.999986933016359,4058,6852
"AGO","GEO",0,1,1,0,0
"AGO","GHA",0,1,1,0,0
"AGO","GIN",0,1,1,0,0
"AGO","GMB",0,1,1,0,0
"AGO","GNB",0,1,1,0,0
"AGO","GNQ",0,1,1,0,0
"AGO","GRC",0,0.99999981482917,0.999999999561388,4,4
"AGO","GRD",0,1,1,0,0
"AGO","GTM",0,1,1,0,0
"AGO","GUY",0,1,1,0,0
"AGO","HND",0,1,1,0,0
"AGO","HRV",0,1,1,0,0
"AGO","HTI",0,1,1,0,0
"AGO","HUN",0,0.999997933529888,0.999999990669693,16,24
"AGO","IDN",0,1,1,0,0
"AGO","IND",0,1,1,0,0
"AGO","IRL",0,0.999985654468274,0.99999975354379,140,472
"AGO","IRN",0,1,1,0,0
"AGO","IRQ",0,1,1,0,0
"AGO","ISL",0,0.999999938633269,0.999999994611687,3,28
"AGO","ISR",0,1,1,0,0
"AGO","ITA",0,0.999961972184216,0.999999002791052,224,1102
"AGO","JAM",0,1,1,0,0
"AGO","JOR",0,1,1,0,0
"AGO","JPN",0,0.999999847527443,0.999999999590939,5,5
"AGO","KAZ",0,1,1,0,0
"AGO","KEN",0,1,1,0,0
"AGO","KGZ",0,1,1,0,0
"AGO","KHM",0,1,1,0,0
"AGO","KWT",0,1,1,0,0
"AGO","LAO",0,1,1,0,0
"AGO","LBN",0,1,1,0,0
"AGO","LBR",0,1,1,0,0
"AGO","LBY",0,1,1,0,0
"AGO","LCA",0,1,1,0,0
"AGO","LKA",0,1,1,0,0
"AGO","LSO",0,1,1,0,0
"AGO","LTU",0,1,1,0,0
"AGO","LUX",0,0.999998146673701,0.999999878092264,43,467
"AGO","LVA",0,1,0.999999999814589,0,2
"AGO","MAR",0,1,1,0,0
"AGO","MDA",0,1,1,0,0
"AGO","MDG",0,1,1,0,0
"AGO","MDV",0,1,1,0,0
"AGO","MEX",0,0.999999870212708,0.999999999732544,5,2
"AGO","MKD",0,1,1,0,0
"AGO","MLI",0,1,1,0,0
"AGO","MLT",0,1,1,0,0
"AGO","MMR",0,1,1,0,0
"AGO","MNG",0,1,1,0,0
"AGO","MOZ",0,1,1,0,0
"AGO","MRT",0,1,1,0,0
"AGO","MUS",0,1,1,0,0
"AGO","MWI",0,1,1,0,0
"AGO","MYS",0,1,1,0,0
"AGO","NAM",0,1,1,0,0
"AGO","NER",0,1,1,0,0
"AGO","NGA",0,1,1,0,0
"AGO","NIC",0,1,1,0,0
"AGO","NLD",0,0.999933845861097,0.999996905380793,358,2868
"AGO","NOR",0,0.999995813566245,0.999999957014145,54,179
"AGO","NPL",0,1,1,0,0
"AGO","NZL",0,1,1,0,0
"AGO","OMN",0,1,1,0,0
