"HumCap_p","TecExt_p","DiaExt_p","FisExt_p","MktExt_p","RemEff_p","NatEff_p","HumCap2_p","TecExt2_p","DiaExt2_p","FisExt2_p","MktExt2_p","RemEff2_p","NatEff2_p","NIR6_NSp","NIR7_NSp","ynoselec_p","ywdp"
"-0.00374276066","-0.00262306222","0.00253989312","0.00765024679","0.000466969859","-2.90470766e-05","0.165289709","-0.00374276066","-0.00256285046","0.00255616521","6.87683833e-05","0.000466969859","0.00765349418","0.165289709","0.00426223982","0.169551949","3338.46644","3352.70243"
"-0.000243128191","-0.000116246758","0.00200675971","0.000337729109","3.06752523e-05","-1.02421226e-05","0.233503326","-0.000243128191","-0.000116120588","0.00200748115","9.33681696e-06","3.06752523e-05","0.00518622164","0.233503326","0.002005547","0.235508873","1955.14099","1959.06224"
"-0.0026787532","-0.00105379596","0.00488486002","0.00172235514","1.68855235e-05","-4.50271366e-05","0.0834179203","-0.0026787532","-0.00105182632","0.00490316131","4.08379035e-06","1.68855235e-05","0.0159126795","0.0834179203","0.00284652439","0.0862644447","11727.1218","11760.5039"
"0.00577502345","0.00324131929","0.0109041474","-0.00948307872","0.000683030458","-0.00236515045","0.891244709","0.00577502345","0.00334234751","0.0108067104","0.000164782879","0.000683030458","0.292997273","0.891244709","0.00875529142","0.9","1670.18383","1684.81678"
"-0.00645929765","-0.00731920998","0.0239890487","0.0198738787","0.00370865049","-0.00361541997","0.86982235","-0.00645929765","-0.00703360312","0.0243241999","0.00166396535","0.00370865049","0.136590728","0.86982235","0.0301776504","0.9","5951.57651","6131.84967"
"0.000901499116","0.000614441902","0.00431418331","-0.00103688272","3.04596762e-05","-7.82515138e-05","0.08869536","0.000901499116","0.000615528898","0.00430765317","1.04572075e-05","3.04596762e-05","0.0165963262","0.08869536","0.00474544978","0.0934408098","13088.8472","13150.9616"
"0.0181582041","0.0121300362","0.0135112266","-0.0242598679","0.00177417048","0","0.878686231","0.0181582041","0.0127934113","0.0131140258","0.00147064989","0.00177417048","0","0.878686231","0.0213137695","0.9","4258.84947","4349.78294"
"0.00665208425","0.00552957388","0.0150634876","-0.00714211162","9.10639965e-05","-0.00093415039","0.098594895","0.00665208425","0.00556515442","0.0148821978","3.61330565e-05","9.10639965e-05","0.0487326441","0.098594895","0.0192599478","0.117854843","21028.6627","21433.7105"
"0.0114561567","0.0587237423","0.0049704191","-0.0906212981","6.43413888e-05","-0.000354086712","0.0345818019","0.0114561567","0.0654720437","0.00464447062","1.31003348e-05","6.43413888e-05","0.0105857305","0.0345818019","-0.0157607254","0.0188210765","14672.5427","14441.2779"
"0.00907835471","0.0236316191","0.00631337593","-0.0325753888","3.79149159e-05","-0.000890963212","0.0343257193","0.00907835471","0.0247565605","0.00611340656","8.77718531e-06","3.79149159e-05","0.00931856878","0.0343257193","0.0055949127","0.039920632","23401.8294","23532.7656"
"-0.000314027189","-0.000428512189","0.00240076574","0.00114486561","0.000461446531","-9.15503651e-05","0.192979394","-0.000314027189","-0.000427619002","0.00240254972","0.000110797493","0.000461446531","0.0337632161","0.192979394","0.00317298813","0.196152382","2557.00276","2565.11984"
"0.0171068795","0.0290009357","0.00573201048","-0.0428982154","0.000131302546","-0.000750801601","0.0185225287","0.0171068795","0.0308384606","0.00547936875","5.61022344e-05","0.000131302546","0.0098169082","0.0185225287","0.00832211131","0.02684464","30827.4791","31084.0625"
"0.00360552388","0.00348612115","0.0143821623","-0.0060560805","9.86935741e-05","-0.00133790645","0.659305836","0.00360552388","0.00352231119","0.0142808873","1.14063653e-05","9.86935741e-05","0.0950229772","0.659305836","0.0141785139","0.67348435","8940.488","9067.26335"
"0.00474238753","0.00226234477","0.0084947977","-0.00472618808","0.000150418803","-1.60808574e-05","0.240308627","0.00474238753","0.00228648074","0.00843570782","3.44462492e-05","0.000150418803","0.00149488399","0.240308627","0.0109076799","0.251216306","6065.66269","6131.83495"
